paper_no,Name,URL,Author1,Author2,Author3,Author4,Author5,Author6,Author7,Author8,Author9,Author10,Author11,Author12,Author13,Author14,Author15,Author16,Author17,Author18,Author19,Author20
376,"Does Prostatic Calcificalion Affect Serum Prostatic-Specific Antigen?
",http://www.siucongress.org/eipdf/siu2012Abstract00703.pdf,Seyyed Kazem Madaen,Hajebrahimi Sakineh,,,,,,,,,,,,,,,,,,
377,Clinical Outcomes of ABO-Incompatible Kidney Transplantation,http://www.siucongress.org/eipdf/siu2012Abstract00704.pdf,Junjji Uchida,Yuichi Machida,Nobuyuki Kuwabara,Tomoaki Iwai,Toshihide Naganuma,Kazuya Kabei,Hirokazu Tachibana,Yuki Kohyama,Norihiko Kumada,Tatsuya Nakatani,,,,,,,,,,
378,Comprehensive Evaluation of the Bax Gene in Urothelial Bladder Carcinoma: The Role of Single Nucleotide Polymorphisms in Bax Gene Underexpression,http://www.siucongress.org/eipdf/siu2012Abstract00705.pdf,Nasser Shakhssalim,Massoud Houshmand,Bahram Golestani,Erfan Amini,Peyman Torbati,,,,,,,,,,,,,,,
379,"Outcome of Spousal Kidney Transplantation: A Single Center Experience
",http://www.siucongress.org/eipdf/siu2012Abstract00706.pdf,Tomoaki Iwai,Junji Uchida,Yuichi Machida,Nobuyuki Kuwabara,Toshihide Naganuma,Norihiko Kumada,Tatsuya Nakatani,,,,,,,,,,,,,
380,Uterovesical Fistula,http://www.siucongress.org/eipdf/siu2012Abstract00707.pdf,Gholamreza Pourmand,Sanaz Dehghani,Bita Pourmand,,,,,,,,,,,,,,,,,
382,Active Surveillance for Prostate Cancer: Is It Safe?,http://www.siucongress.org/eipdf/siu2012Abstract00709.pdf,Simon Robinson,Marc Laniado,Omer Karim,Hanif Motiwala,,,,,,,,,,,,,,,,
383,Primary Squamous Cell Carcinoma (SCC) of the Prostate Treated with Multidisciplinary Therapy: A Report of 3 Cases,http://www.siucongress.org/eipdf/siu2012Abstract00710.pdf,Hayashida Yushi,Uchida Toshihiro,Naito Hirohito,Tohi Yoichiro,Matsuoka Yuki,Kato Takuma,Hirama Hiromi,Ueda Nobuhumi,Sugimoto Mikio,Yoshiyuki Kakehi,,,,,,,,,,
384,Frequency and Clinic-Pathologic Correlate of FOXP3 Immunoreactivity in Human Urothelial Carcinoma,http://www.siucongress.org/eipdf/siu2012Abstract00714.pdf,Yuh-Shyan Tsai,Yeong-Chin Jou,Chun-Liang Tung,Cheng-Huang Shen,Syue-Yi Chen,Hisn-Tzu Tsai,Tzong-Shin Tzai,,,,,,,,,,,,,
388,Minimal Adverse Impact of the Extent of Lymphadenectomy on Surgical Results of Nephroureterectomy for Urothelial Carcinoma of the Upper Urinary Tract,http://www.siucongress.org/eipdf/siu2012Abstract00718.pdf,Tsunenori Kondo,Yasunobu Hashimoto,Hirohito Kobayashi,Junpei Iizuka,Eri Ikezawa,Toshio Takagi,Kazunari Tanabe,,,,,,,,,,,,,
389,Early and Late Complications after High Dose Rate Brachytherapy of Intermediate and High-Risk Prostate Cancer,http://www.siucongress.org/eipdf/siu2012Abstract00719.pdf,Albertas Ulys,Arvydas Burneckis,Eduardas Aleknavicius,Alvydas Vezelis,Lina Kasulaityte,,,,,,,,,,,,,,,
390,X Rays: Their Discovery and Bitter Contestation,http://www.siucongress.org/eipdf/siu2012Abstract00720.pdf,Simon Robinson,Hanif Motiwala,,,,,,,,,,,,,,,,,,
391,Prediction of Operative and Middle-Term Functional Outcomes after Partial Nephrectomy Using The R.E.N.A.L Nephrometry Score,http://www.siucongress.org/eipdf/siu2012Abstract00721.pdf,Koji Ichihara,Toshiaki Tanaka,Hiroshi Kitamura,Satoshi Takahashi,Naoya Masumori,Taiji Tsukamoto,,,,,,,,,,,,,,
392,Association Between Nephrolithiasis Incidence and Nutrition Based on Data from a Japanese National Survey,http://www.siucongress.org/eipdf/siu2012Abstract00722.pdf,Takahiro Yasui,Atsushi Okada,Kazuhiro Niimi,Shuzo Hamamoto,Takahiro Kobayashi,Masahito Hirose,Yasunori Itoh,Keiichi Tozawa,Masanori Iguchi,Kenjiro Kohri,,,,,,,,,,
393,Bisphosphonate has a Preventive Effect on the Recurrence of Nephrolithiasis in Men,http://www.siucongress.org/eipdf/siu2012Abstract00723.pdf,Takahiro Yasui,Atsushi Okada,Kazumi Taguchi,Yasuhiko Hirose,Yasuhiro Fujii,Masayuki Usami,Ryosuke Ando,Shuzo Hamamoto,Keiichi Tozawa,Kenjiro Kohri,,,,,,,,,,
394,A Simple Prophylaxis for Postoperative Inguinal Hernia After Laparoscopic Prostatectomy,http://www.siucongress.org/eipdf/siu2012Abstract00724.pdf,Takahiro Yasui,Kazumi Taguchi,Yukihiro Umemoto,Yoshiyuki Kojima,Hidetoshi Akita,Noriyasu Kawai,Keiichi Tozawa,Shoichi Sasaki,Yutaro Hayashi,Kenjiro Kohri,,,,,,,,,,
395,Robotic Prostatectomy Outcomes in a 12-Month Fellowship Program,http://www.siucongress.org/eipdf/siu2012Abstract00725.pdf,Elayne Ooi,Branimir Rajcic,Richard Wells,Jimmy Lam,Peter Sutherland,,,,,,,,,,,,,,,
397,Comparison of Health-Related Quality of Life (HRQOL) After Prostate Cancer Treatment,http://www.siucongress.org/eipdf/siu2012Abstract00727.pdf,Yasuto Yagi,Asuka Ashikari,Ryo Namitome,Yuho Kono,Toru Nishiyama,Kazuhito Toya,Atsunori Yorozu,Shiro Saito,,,,,,,,,,,,
398,Benefits of  Dynamic Sentinel Lymphnode Biopsy Technique in the Management of Penile Cancer,http://www.siucongress.org/eipdf/siu2012Abstract00728.pdf,Akos Pytel,Arpad Szanto,Zoltan Fabos,Erzsebet Schmidt,Laszlo Farkas,,,,,,,,,,,,,,,
400,"Elucidation of Genomic DNA Structures Distinctive of Patients with 46,XX Testicular DSD Using Genome-Wide Analyses",http://www.siucongress.org/eipdf/siu2012Abstract00730.pdf,Kentaro Mizuno,Yoshiyuki Kojima,Satoshi Kurokawa,Hideyuki Kamisawa,Makoto Imura,Yoshinobu Moritoki,Hidenori Nishio,Toshiki Kato,Yutaro Hayashi,Kenjiro Kohri,,,,,,,,,,
402,"'Double 'J' Silicon Stent: A Word of Caution in Urological Practice: Experience from High Stone Forming, High Congenital Anomaly Area of Jizan, Saudi Arabia",http://www.siucongress.org/eipdf/siu2012Abstract00732.pdf,Akhileshwar Jha,Hussein Al Faifi,,,,,,,,,,,,,,,,,,
403,Role of Injection of 100 Units of Botulinum Toxin-A in Management of Refractory Idiopathic Overactive Bladder,http://www.siucongress.org/eipdf/siu2012Abstract00733.pdf,Mohamed Elbadry,Ahmed Gabr,Mohamed Abdelmalek,,,,,,,,,,,,,,,,,
405,International Variation in Artificial Urinary Sphincter Use,http://www.siucongress.org/eipdf/siu2012Abstract00735.pdf,Kazuhito Matsushita,Bilal Chughtai,Alexandra Maschino,Richard Lee,Jaspreet Sandhu,,,,,,,,,,,,,,,
408,Robotic Assisted Partial Nephrectomy in Patients without Hilar Clamping: A Multi-Institutional Study,http://www.siucongress.org/eipdf/siu2012Abstract00738.pdf,Bartosz Kaczmarek,Jihad Kaouk,Sam Bhayani,Mohamad Allaf,Michael Stifelman,Youssef Tanagho,Shahab Hillyer,Jeffrey Mullins,Craig Rogers,,,,,,,,,,,
410,Robotic Assisted Partial Nephrectomy in Patients with Baseline Renal Insufficiency: A Multi-Institutional Study,http://www.siucongress.org/eipdf/siu2012Abstract00740.pdf,Bartosz Kaczmarek,Sam Bhayani,Michael Stifelman,Jihad Kaouk,Mohamad Allaf,Youssef Tanagho,Shahab Hillyer,Jeffrey Mullins,Craig Rogers,,,,,,,,,,,
412,Obtaining Sperm from More than 12 ml Testicular Volume,http://www.siucongress.org/eipdf/siu2012Abstract00742.pdf,Yukihiro Umemoto,Shoichi Sasaki,Shoichiro Iwatsuki,Yoshiyuki Kojima,Kentaro Mizuno,Hiroki Kubota,Yasue Kubota,Yutaro Hayashi,Kenjiro Kohri,,,,,,,,,,,
413,"The Numb-Like Gene, Which We Detected in the Testes of Flutamide-Induced Cryptorchid Rat Model, May Take Part in Spermatogenesis",http://www.siucongress.org/eipdf/siu2012Abstract00743.pdf,Yukihiro Umemoto,Shoichi Sasaki,Shoichiro Iwatsuki,Kentaro Mizuno,Yoshiyuki Kojima,Noriyasu Kawai,Takahiro Yasui,Keiichi Tozawa,Yutaro Hayashi,Kenjiro Kohri,,,,,,,,,,
414,Comparison of Nephrostomy Tube Sizes after PCNL,http://www.siucongress.org/eipdf/siu2012Abstract00744.pdf,Jin Kiat Teo,Joon Jae Park,Bichu Joseph Maliakal,Beow Kiong Poh,Kok Kit Ng,Foo Cheong Ng,,,,,,,,,,,,,,
416,Holmium Laser Enucleation of the Prostate in Patients on Anticoagulant Therapy,http://www.siucongress.org/eipdf/siu2012Abstract00746.pdf,Takahiro Haraguchi,Hideaki Miyake,Yuzo Nakano,Kazushi Tanaka,Masato Fujisawa,,,,,,,,,,,,,,,
417,Docetaxel plus Prednisone versus Mitoxantrone plus Prednisone as First-Line Chemotherapy for Metastatic Castration-Refractory Prostate Cancer: Long-Term Effects and Safety in Chinese Patients,http://www.siucongress.org/eipdf/siu2012Abstract00747.pdf,Yijun Shen,Xiaojie Bian,Huyang Xie,Yao Zhu,Bo Dai,Shilin Zhang,Xudong Yao,Dingwei Ye,,,,,,,,,,,,
423,Clinical Usefulness of the Ultrasound Contrast Agent Perflubutane in the Diagnosis of Prostatic Cancer: A Prospective Clinical Trial,http://www.siucongress.org/eipdf/siu2012Abstract00753.pdf,Jun Akatsuka,Go Kimura,Kenta Suzumura,Shunichio Nomura,Tadaaki Minowa,Shigeki Iigaya,Shuichi Osawa,Yukihiro Kondo,,,,,,,,,,,,
425,Validation of Prostate HistoScanningTM in Localization of Prostate Carcinoma: The Indian Experience,http://www.siucongress.org/eipdf/siu2012Abstract00755.pdf,Arvind Ganpule,Shashikant Mishra,R Ganesmoni,R Sabnis,M Desai,,,,,,,,,,,,,,,
426,Trans Obturator Four Arm Polypropylene Mesh in the Treatment of High Stage Cystoceles,http://www.siucongress.org/eipdf/siu2012Abstract00756.pdf,Farzaneh Sharifiaghdas,,,,,,,,,,,,,,,,,,,
429,Negligible Influence of High Fat Diet Feeding on Lower Urinary Tract Function in Mice,http://www.siucongress.org/eipdf/siu2012Abstract00759.pdf,Naoki Aizawa,Yukio Homma,Yasuhiko Igawa,,,,,,,,,,,,,,,,,
432,Assessment of Lower Urinary Tract Symptoms after Bacille Calmette-Guérin Instillation Therapy for Non-Muscle-Invasive Bladder Cancer,http://www.siucongress.org/eipdf/siu2012Abstract00762.pdf,Sugino Yoshio,Koji Yoshimura,Yoshiyuki Matsui,Masaaki Imamura,Yosuke Shimizu,Takahiro Inoue,Kazutoshi Okubo,Tomomi Kamba,Hiroyuki Nishiyama,Osamu Ogawa,,,,,,,,,,
434,Does TNM 2010 Nodal Staging Provide a Better Prognostic Value than Lymph Node Density in Patients Underwent Radical Cystectomy with Standard Lymph Node Dissection,http://www.siucongress.org/eipdf/siu2012Abstract00764.pdf,Yijun Shen,Huyang Xie,Dingwei Ye,Xudong Yao,Shilin Zhang,Bo Dai,Hailiang Zhang,Yao Zhu,,,,,,,,,,,,
435,The Value of Frozen Section Examination During Transurethral Resection in Patients with T1 Bladder Cancer,http://www.siucongress.org/eipdf/siu2012Abstract00765.pdf,Yijun Shen,Xudong Yao,Shilin Zhang,Bo Dai,Chaofu Wang,Dingwei Ye,,,,,,,,,,,,,,
436,Baseline Potency and Desire to Preserve Sexual Activity: An Assessment of Chinese Patients For Radical Retropubic Prostatectomy,http://www.siucongress.org/eipdf/siu2012Abstract00766.pdf,Yijun Shen,Dingwei Ye,,,,,,,,,,,,,,,,,,
439,Refinement of Male-To-Female Sex Reassignment Surgery Over 20 Years: Experience of 200 Cases,http://www.siucongress.org/eipdf/siu2012Abstract00769.pdf,Ladislav Jarolim,Marek Schmidt,Matus Chocholaty,Ivo Minarik,Michal Rejchrt,Jan Jerie,Stepan Vesely,Marek Babjuk,Katerina Baronickova,Klara Havlova,,,,,,,,,,
440,Stricture Ureter after Ureteroscopic Treatment for Ureteral Calculi: Multicenter Long-Term Prospective Study,http://www.siucongress.org/eipdf/siu2012Abstract00770.pdf,Ahmed Elabd,Mohamed Gaber,Mohamed Abo farha,Ahmed Ramadan,Hasan El-Tatawy,Osama El-Gamal,Samir El-Gamal,Robert Figinshau,Shawky Elabd,,,,,,,,,,,
442,Aerosol Transfer of Bladder Urothelial and Smooth Muscle Cells onto Demucosalized Colonic Segments for Bladder Augmentation In Vivo: Long-Term and Functional Results,http://www.siucongress.org/eipdf/siu2012Abstract00772.pdf,Guy Hidas,Hak J Lee,Andrej Bahoric,Hung Truong,Zhongbo Liu,Shuman Liu,Samah Saharti,Xiaolin Zi,Antoine Khoury,,,,,,,,,,,
443,Is the Appearance of the Deflux Mound Predictive of Reflux Resolution?,http://www.siucongress.org/eipdf/siu2012Abstract00773.pdf,Guy Hidas,Tandis Soltani,Antoine E Khoury,,,,,,,,,,,,,,,,,
444,Application of Continuous Incisional Infusion of Local Anesthetic after Major Pediatric Urological Surgery,http://www.siucongress.org/eipdf/siu2012Abstract00774.pdf,Guy Hidas,Hak J. Lee,Blake Watts,Maryellen Pribish,Edwin T. Tan,Zeev N. Kain,Antoine Khoury,,,,,,,,,,,,,
446,Persistence in the Use of Drugs for the Treatment of Benign Prostatic Hyperplasia,http://www.siucongress.org/eipdf/siu2012Abstract00776.pdf,Alexander McBean,Heidi O'Connor,Sean Elliott,,,,,,,,,,,,,,,,,
447,Post-Chemotherapy Retroperitoneal Lymph Node Dissection for Advanced Germ Cell Tumors at a Single Japanese Center,http://www.siucongress.org/eipdf/siu2012Abstract00777.pdf,Terukazu Nakamura,Yasunori Kimura,Kazuya Mikami,Takashi Ueda,Fumiya Hongo,Natsuki Takaha,Akihiro Kawauchi,Tsuneharu Miki,,,,,,,,,,,,
448,Copy Number Aberrations Predict Patient Prognosis in Non-Muscle Invasive Bladder Cancer,http://www.siucongress.org/eipdf/siu2012Abstract00778.pdf,Hideyasu Matsuyama,Satoshi Eguchi,Kohsuke Sasaki,,,,,,,,,,,,,,,,,
449,Sacral Neuromodulation Failures,http://www.siucongress.org/eipdf/siu2012Abstract00779.pdf,Michelle Chang,Jerzy Gajewski,,,,,,,,,,,,,,,,,,
452,External Validation and Comparison of Prognostic Models for Renal Cell Carcinoma Recurrence in a Japanese Population,http://www.siucongress.org/eipdf/siu2012Abstract00782.pdf,Takeshi Namekawa,Takanobu Utsumi,Takeshi Ueda,Satoshi Fukazawa,Atsushi Komaru,Takahito Suyama,Takashi Imamoto,Naoki Nihei,Hiroyoshi Suzuki,Tomohiko Ichikawa,,,,,,,,,,
453,External Validation of a Preoperative Prognostic Nomogram for Renal Cell Carcinoma in Two Patient Populations,http://www.siucongress.org/eipdf/siu2012Abstract00783.pdf,Takeshi Namekawa,Takanobu Utsumi,Takeshi Ueda,Satoshi Fukasawa,Atsushi Komaru,Takahito Suyama,Takashi Imamoto,Naoki Nihei,Hiroyoshi Suzuki,Tomohiko Ichikawa,,,,,,,,,,
455,Baseline Total Renal Volume Predicts Risk of Chronic Kidney Disease (CKD) after Radical Nephrectomy,http://www.siucongress.org/eipdf/siu2012Abstract00785.pdf,Fiona Wu,Melissa Tay,Bee Choo Tai,Lincoln Tan,Amy Aung,Lata Raman,Sudhakar Venkatesh,Ho Yee Tiong,,,,,,,,,,,,
457,Transurethral Cauterization Using Neodymium YAG Laser for Hemorrhagic Radiation Cystisis Caused By Adjuvant/Salvage Radiotherapy After Radical Prostatectomy,http://www.siucongress.org/eipdf/siu2012Abstract00787.pdf,Shigehiro Bando,Gen Ishii,Yusuke Koike,Toshihiro Yamamoto,Jun Miki,Hiroki Yamada,Takahiro Kimura,Kenta Miki,Shin Egawa,,,,,,,,,,,
458,Baseline Renal Function and Post-Operative Risk of Developing Chronic Kidney Disease (CKD) in Patients Undergoing Radical Nephrectomy and Donor Nephrectomy: There Can Be No Comparison,http://www.siucongress.org/eipdf/siu2012Abstract00788.pdf,Melissa Tay,Fiona Wu,Bee Choo Tai,Lincoln Tan,Amy Aung,Lata Raman,Ho Yee Tiong,,,,,,,,,,,,,
459,"'Minimally Invasive Urethroplasty' (Kulkarni's Technique): A Single Stage Reconstruction of Long Segment Inflammatory Urethral Stricture: A New Horizon of Urethral Reconstruction
",http://www.siucongress.org/eipdf/siu2012Abstract00789.pdf,Zahid H Bhuiyan,M Fakhrul Islam,Nazrul I Bhuiyan,KHM Tawhid,,,,,,,,,,,,,,,,
460,The Efficacy of Prulifloxacin for the Management of LUTS in Patients Receiving Intravesical BCG for Non-Muscle Invasive Bladder Tumors,http://www.siucongress.org/eipdf/siu2012Abstract00790.pdf,Petros Sountoulides,Alexandros Theodosiou,Dimitrios Kikidakis,Thomas Rountos,Niki Zioga,Chrysa Filintatzi,Konstantinos Paschalidis,,,,,,,,,,,,,
466,Three-Dimensional Choi Response Criteria in Patients with Advanced Renal Cell Carcinoma Treated with Molecular Targeted Therapies,http://www.siucongress.org/eipdf/siu2012Abstract00796.pdf,Sato Kensuke,Wataru Obara,Tomoaki Fujioka,Miyuki Sone,Shigeru Ehara,,,,,,,,,,,,,,,
472,Comparison of the Efficiency of the Surgical Treatment for Genital Papilloma: Laser Versus Electrocoagulation,http://www.siucongress.org/eipdf/siu2012Abstract00802.pdf,Ekatherina Kulchavenya,,,,,,,,,,,,,,,,,,,
473,Harmful and Helpful Effect of the Mesh in the Treatment of Stress Urinary Incontinence and Pelvic Organ Prolapse,http://www.siucongress.org/eipdf/siu2012Abstract00803.pdf,Ivan Ignjatovic,Milan Potic,Nenad Paunovic,,,,,,,,,,,,,,,,,
474,Laser Surgery for Bladder Leukoplakia,http://www.siucongress.org/eipdf/siu2012Abstract00804.pdf,Ekatherina Kulchavenya,,,,,,,,,,,,,,,,,,,
475,Sources of Delay to a Penile Cancer Referral Centre in West Denmark,http://www.siucongress.org/eipdf/siu2012Abstract00805.pdf,Jakob Kristian Jakobsen,Kasper Ørding Olsen,Karsten Egbert Arnold Zieger,Jørgen Bjerggaard Jensen,,,,,,,,,,,,,,,,
476,Recurrence Patterns in Organ Preserving Treatment of Penile Squamous Cell Carcinoma,http://www.siucongress.org/eipdf/siu2012Abstract00806.pdf,Jakob Kristian Jakobsen,Kasper Ørding Olsen,Karsten Egbert Arnold Zieger,Jørgen Bjerggaard Jensen,,,,,,,,,,,,,,,,
478,Predictive Value of Preoperative Prostate-Specific Antigen and Gleason Score in Patients with High Risk Prostate Cancer,http://www.siucongress.org/eipdf/siu2012Abstract00808.pdf,Senjin Djozic,Jasenko Djozic,Jovo Bogdanovic,Vuk Sekulic,Goran Marusic,Ranko Herin,Ivan Levakov,Sasa Vojnov,Dimitrije Jeremic,Srdjan Zivojinov,,,,,,,,,,
479,Impact of RENAL Nephrometry Score on Renal Function after Partial Nephrectomy in Solitary Kidneys,http://www.siucongress.org/eipdf/siu2012Abstract00809.pdf,Kenji Omae,Tsunenori Kondou,Kazuhiko Yoshida,Toshio Takagi,Junpei Iizuka,Hirohito Kobayashi,Yasunobu Hashimoto,Kazunari Tanabe,,,,,,,,,,,,
481,Endovascular Treatment of Percutaneous Nephrolithotomy Hemorrhagic Complications,http://www.siucongress.org/eipdf/siu2012Abstract00811.pdf,Viorel Jinga,Bogdan Dorobat,Bogdan Braticevici,Youssef Salaheddin,Dan Diaconescu,George Daniel Radavoi,,,,,,,,,,,,,,
482,Utility of Alpha-Methylacyl-CoA Racemase and P63 Cocktail in the Diagnosis of Prostatic Carcinoma,http://www.siucongress.org/eipdf/siu2012Abstract00812.pdf,Amelia Petrescu,Gabriela Berdan,Daniel Radavoi,Dan Badescu,Carmen Ardeleanu,Viorel Jinga,,,,,,,,,,,,,,
487,PSA: The 'Milestone' in Urology,http://www.siucongress.org/eipdf/siu2012Abstract00817.pdf,E Koutsiaris,Apostolos Rempelakos,C Alamanis,C Tsiamis,E Poulakou-Rebelakou,,,,,,,,,,,,,,,
488,TRUS Prostate Biopsy Cores: Extent of the Pierced Area Impacts the Cancer Detection Rate,http://www.siucongress.org/eipdf/siu2012Abstract00818.pdf,Emmanuel Chartier-Kastler,Grégoire Coffin,Cécile Torterotot,Michael Baumann,Marie-Aude Vitrani,Guillaume Morel,Grégoire Chevreau,Pierre Charles Mozer,,,,,,,,,,,,
489,"Comparison Between Systematic and MRI Targeted Prostate Biopsy for Patient with No History of
Prostate Cancer Attending a First Round of Trans-Rectal Ultrasound Biopsy Procedure
",http://www.siucongress.org/eipdf/siu2012Abstract00819.pdf,Emmanuel Chartier-Kastler,Grégoire Coffin,Grégoire Chevreau,Raphaelle Renard-Penna,Eva Comperat,Marie-Aude Vitrani,Cécile Torterotot,Pierre Conort,Marc-Olivier Bitker,Pierre Charles Mozer,,,,,,,,,,
492,No Impact of Mannitol on Renal Function after Partial Nephrectomy in Solitary Kidneys,http://www.siucongress.org/eipdf/siu2012Abstract00822.pdf,Kenji Omae,Tsunenori Kondou,Kazuhiko Yoshida,Toshio Takagi,Junpei Iizuka,Hirohito Kobayashi,Yasunobu Hashimoto,Kazunari Tanabe,,,,,,,,,,,,
493,Safty of Partial Nephrectomy for Patients on Chronic Anticoagulant Therapy,http://www.siucongress.org/eipdf/siu2012Abstract00823.pdf,Kenji Omae,Tsunenori Kondou,Kazuhiko Yoshida,Toshio Takagi,Junpei Iizuka,Hirohito Kobayashi,Yasunobu Hashimoto,Kazunari Tanabe,,,,,,,,,,,,
494,The Efficacy of Dexamethasone as a Facilitator Agent for Expulsion of Lower Ureteral Stones,http://www.siucongress.org/eipdf/siu2012Abstract00824.pdf,Faramarz Fazeli,shahram Gooran,Maryam Saravani,,,,,,,,,,,,,,,,,
495,Association Between Body Mass Index and Frequency and Grade of Varicocele in Southeast Iran,http://www.siucongress.org/eipdf/siu2012Abstract00825.pdf,Faramarz Fazeli,Siamak Babaei,,,,,,,,,,,,,,,,,,
496,Evaluation of the Effect of Oral Desmopressin in Treatment of Nocturia in Patients with Benign Prostatic Hyperplasia,http://www.siucongress.org/eipdf/siu2012Abstract00826.pdf,Faramarz Fazeli,Hesamoddin Mullazehi,,,,,,,,,,,,,,,,,,
497,Laparoscopic Coagulum Pyelolithotomy,http://www.siucongress.org/eipdf/siu2012Abstract00827.pdf,Ricardo Borges,Paulo Azinhais,Edson Retroz,Paulo Temido,Bruno Pereira,Ricardo Leão,Vânia Grenha,Hugo Coelho,Luis Sousa,Fernando Sobral,,,,,,,,,,
502,A High-Fat Diet Enhances Proliferation of Prostate Cancer Cells and Activation of MCP-1/CCR2 Signaling,http://www.siucongress.org/eipdf/siu2012Abstract00832.pdf,Mingguo Huang,Shintaro Narita,Norihiko Tsuchiya,Takamitsu Inoue,Shigeru Satoh,Tomonori Habuchi,,,,,,,,,,,,,,
503,Factors Affecting Stone-Free Rate after SWL: Relationship with Inflammation,http://www.siucongress.org/eipdf/siu2012Abstract00833.pdf,Ji Hyeong Yu,Luck Hee Sung,Choong Hee Noh,Jae Yong Chung,,,,,,,,,,,,,,,,
504,"Initial Experience of Low-Intensity Shock Wave Therapy for the Treatment of Erectile Dysfunction in Teikyo University Hospital, Japan",http://www.siucongress.org/eipdf/siu2012Abstract00834.pdf,Shin-Ichi Hisasue,Toshiyuki China,Hisamitsu Ide,Masahiro Inoue,Takashi Yosii,Keisuke Saito,Shuji Isotani,Satoru Muto,Raizo Yamaguchi,Shigeo Horie,,,,,,,,,,
506,Simultaneous Ipsilateral Native Nephrectomy With Kidney Transplantation is Safe and Beneficial for ESRD Patients With Polycystic Kidney Disease,http://www.siucongress.org/eipdf/siu2012Abstract00836.pdf,Ken Morita,Daiki Iwami,Nobuyuki Fukuzawa,Tatsu Tanabe,Hajime Sasaki,Masayoshi Miura,Nobuo Shinohara,Katsuya Nonomura,,,,,,,,,,,,
507,Restored Kidney Transplant After Resection of Renal Cell Carcinoma: Preliminary Results of 10 Cases,http://www.siucongress.org/eipdf/siu2012Abstract00837.pdf,Yoshihide Ogawa,Shinyu Shiroma,Keimei Kojima,Rensuke Mannami,Makoto Mannami,Mitsuo Nishi,Keiichi Kitajima,Mitsuyoshi Tamaki,Seiichi Ito,Naoki Mitsuhata,,,,,,,,,,
508,Prostate Cancer Screening in China: Yes or No,http://www.siucongress.org/eipdf/siu2012Abstract00838.pdf,Wei Wang,Shan Chen,Yanqun Na,,,,,,,,,,,,,,,,,
510,BMI Is Associated with High Grade Index Tumor Volume in Patients with Prostate Cancer,http://www.siucongress.org/eipdf/siu2012Abstract00840.pdf,Norihiro Hayashi,Nozomu Furuta,Shoji Kimura,Noriomi Otsuka,Takehito Naruoka,Shin Egawa,,,,,,,,,,,,,,
511,Low Dose Oral Desmopressin in Treatment of Nocturnal Polyuria in Elderly Women,http://www.siucongress.org/eipdf/siu2012Abstract00841.pdf,Wei Wang,Shan Chen,,,,,,,,,,,,,,,,,,
512,The Prevalence of Nocturia in Men Aged Over 50 Years in Beijing,http://www.siucongress.org/eipdf/siu2012Abstract00842.pdf,Wei Wang,Shan Chen,,,,,,,,,,,,,,,,,,
513,Transurethral Laser Litotripsy for Renal Staghorn Stones Using Flexible Ureterorenoscope,http://www.siucongress.org/eipdf/siu2012Abstract00843.pdf,Ryoichi Matsuo,,,,,,,,,,,,,,,,,,,
514,Treatment of Traumatic Disruption of the Membranous Urethra by Endoscopic Urethral Realignment,http://www.siucongress.org/eipdf/siu2012Abstract00844.pdf,Baher Aldamanhori,Ahmed El Sadr,Hamed El Darawany,,,,,,,,,,,,,,,,,
515,Low Dose Oral Desmopressin in Treatment of Nocturia in Elderly Men,http://www.siucongress.org/eipdf/siu2012Abstract00845.pdf,Wei Wang,Shan Chen,,,,,,,,,,,,,,,,,,
516,Analysis of Detrusor Activity According to Type of Cerebrovascular Accidents,http://www.siucongress.org/eipdf/siu2012Abstract00846.pdf,Woong Na,Jong Bouk Lee,Seong Jin Jeong,,,,,,,,,,,,,,,,,
517,"Assessment of Glomerular Filtration Rate Changes after Percutaneous Nephrolithotomy and Determining the Possible Risk Factors for Postoperative Acute Renal Failure
",http://www.siucongress.org/eipdf/siu2012Abstract00847.pdf,Ali Tabibi,Mahziar Khazaeli,Amir Modir,Pooneh Nabavizadeh,Alireza Lashay,Dinyar Khazaeli,Mohammad Hossein Soltani,,,,,,,,,,,,,
518,Organ Specific Gst-pi Expression in New Metastatic Androgen-Independent Prostate Cancer Animal Model,http://www.siucongress.org/eipdf/siu2012Abstract00848.pdf,Taku Naiki,Makoto Asamoto,Aya Naiki-Ito,Noriyasu Kawai,Keiichi Tozawa,Satoru Takahashi,Kenjiro Kohri,,,,,,,,,,,,,
519,"Adipose Derived Stem Cells and Nerve Growth Factor-Incorporated Hydrogel as a Therapeutic Strategy for Post-Prostatectomy Erectile Dysfunction

",http://www.siucongress.org/eipdf/siu2012Abstract00849.pdf,In Gul Kim,Shuyu Piao,Ji Young Lee,Insup Noh,Jeong Chan Ra,Sae Woong Kim,Tae-Kon Hwang,Ji Youl Lee,,,,,,,,,,,,
521,"Single-Blind, Placebo Controlled, Randomized Controlled Study of the Efficacy of a High-Frequency Continuous Magnetic Stimulator for Urgency Incontinence",http://www.siucongress.org/eipdf/siu2012Abstract00851.pdf,Tomonori Yamanishi,Yukio Homma,Osamu Nishizawa,Kosaku Yasuda,Osamu Yokoyama,,,,,,,,,,,,,,,
